Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
2-Way 3-Level Break Starter,Small Forward,"6'10""",223,80,68,87,60,57,90,89,67,92,70,50,90,70,55,88,60,85,70,55,84,80
2-Way 3-Level Cleaner,Small Forward,"6'8""",220,76,70,87,51,77,89,84,67,70,81,72,88,76,60,84,80,85,80,70,83,75
2-Way 3-Level Dime Dropper,Small Forward,"6'9""",185-209,77-84,66-80,73-91,55-73,51-85,85-92,85-90,65-95,85-91,80,73-75,57-80,85-90,67-79,50-68,73-75,60-75,84-86,80-81,56-80,65-80
2-Way 3-Level Point Forward,Small Forward,"6'7"" to 6'8""",185-215,74-78,71-85,60-91,25-51,43-51,84-89,83-89,64-94,85-89,80-86,75-82,47-60,85-92,62-80,40-74,27-67,51-71,80-87,76-85,53-84,59-80
2-Way 3-Level Scorer,Small Forward,"6'5"" to 6'10""",185-225,70-84,65-90,60-99,41-72,26-79,84-93,83-91,65-98,25-84,50-82,55-80,50-83,82-95,57-92,46-88,34-80,55-80,75-88,70-86,55-83,74-90
2-Way 3-Level Scoring Bully,Small Forward,"6'7"" to 6'8""",215-218,73-78,70-85,87-89,45-47,53-55,85,83-89,72-80,71-75,75,75-78,70-75,85-92,55-72,78-80,56-61,70-80,80-81,76,85,77-78
2-Way 3-Level Shot Creator,Small Forward,"6'4"" to 6'8""",185-227,72-85,68-85,84-95,39-72,36-80,85-93,83-90,61-93,56-82,81-90,70-89,43-89,85-92,55-86,35-86,28-78,45-81,75-89,70-85,50-75,69-85
2-Way 3PT Shot Hunter,Small Forward,"6'6"" to 6'8""",180-218,67-74,71-80,64-82,39-72,41-52,75-83,85-93,66-89,65-82,85-86,75-86,50-82,85-94,67-85,48-78,32-70,55-70,82-89,77-85,59-85,74-80
2-Way 3PT Slasher,Small Forward,"6'6"" to 6'8""",185-235,67-79,70-85,85-94,37-72,40-70,73-83,83-92,58-90,60-85,83-86,65-85,48-85,57-92,41-90,37-88,25-77,50-85,75-90,71-87,53-84,75-88
2-Way 3PT Sniper,Small Forward,"6'8""",193,80,90,75,40,51,75,85,62,72,85,80,60,85,85,74,73,80,85,77,75,70
2-Way 3PT Sniping High Flyer,Small Forward,"6'7"" to 6'9""",188-215,70-73,74-80,89-93,45-54,40-50,77-80,87,80-81,70-83,80,75,74-75,84-85,73-80,70-78,31-75,55-70,80,76-80,70-73,80
2-Way 3PT-Sniping High Flyer,Small Forward,"6'4"" to 6'10""",185-250,64-85,59-83,73-93,25-81,26-75,73-83,83-92,60-97,45-82,57-82,61-80,54-91,70-97,55-94,41-92,28-83,52-80,75-94,67-91,57-92,65-85
2-Way 3PT-Sniping Lob Threat,Small Forward,"6'7""",215,81,80,81,91,56,80,84,60,68,80,80,70,87,76,80,70,71,83,69,80,80
2-Way 3PT-Sniping Rim Wrecker,Small Forward,"6'6"" to 6'8""",215-218,70-75,75-80,87,72-89,34-71,78-80,85-87,62-66,65-68,74-77,75-79,60-70,85-87,79-85,68-74,34-60,49-80,82-94,75-88,71-74,76-77
2-Way Blow-By Ace,Small Forward,"6'6"" to 6'7""",198-217,70,80,81-84,40-72,43-53,73-83,83,58-86,63-65,77-88,81-84,66-71,85-90,85-90,80,45-58,70-83,84,84-85,56-74,70-78
2-Way Blow-By High Flyer,Small Forward,"6'6"" to 6'7""",200-225,71-79,71-80,88-94,46-49,40-47,68-75,78-83,56-58,55-62,80-87,81-84,55-94,56-89,53-85,41-87,31-79,48-85,85-87,78-87,66-80,75-93
2-Way Bulldimer,Small Forward,"6'9""",218,71,80,90,55,73,71,79,54,85,75,68,82,89,60,84,75,80,73,80,85,77
2-Way Bulldozer,Small Forward,"6'6"" to 6'10""",215-238,67-87,67-80,87-96,37-81,48-55,70-83,78-83,55-99,38-71,55-76,56-75,67-89,62-95,70-94,45-85,32-80,57-85,70-90,69-87,85-90,75-90
2-Way Bulldozing Cleaner,Small Forward,"6'6"" to 6'9""",220-240,73-74,73,86-93,36-58,45-50,70-73,80-83,63-82,60-82,54-75,53-75,67-75,85-94,73-85,74-80,70-83,89-92,83-84,77-80,85,78-83
2-Way Bulldozing Putback Pro,Small Forward,"6'9""",218,77,69-75,89,54-55,50,70-72,80,61-83,70,80,72,70,85,84-85,74,92,77,81,80,84,70-78
2-Way Crafty Inside-Out Scorer,Small Forward,"6'8"" to 6'9""",210-218,77-80,87-90,87-93,50-58,47-79,80,85-86,78-80,71-72,77-81,70-75,65-70,85-87,60-80,40-51,61-77,75-80,80,79-80,75-77,75-81
2-Way Crafty Mid-Paint Scorer,Small Forward,"6'7"" to 6'8""",208-227,77-86,85-90,80-93,49-72,41-72,85-91,77-83,69-84,71-76,71-81,60-78,51-83,80-91,51-61,68-88,30-72,55-72,73-81,76-80,73-82,77-80
2-Way Crafty Putback Dimer,Small Forward,"6'9""",234,86,93,73,45,79,80,70,56,85,73,68,74,85,67,74,92,77,73,76,83,70
2-Way Diming Paint Finisher,Small Forward,"6'9""",225,90,89,83,53,60,83,82,64,87,80,71,75,88,82,49,37,61,82,78,56,88
2-Way Diming Sharpshooter,Small Forward,"6'9""",185-186,73-82,65-80,43-84,28-72,50-67,83-92,89-90,64-88,84-88,80,75,60-74,90-92,73-79,68-84,37-72,60-70,80-85,84-85,55-74,63-75
2-Way Disruptive High Flyer,Small Forward,"6'9""",206,70,70,90,55,51,80,80,70,64,80,73,72,90,83,80,66,70,80,80,80,80
2-Way Dual Finisher,Small Forward,"6'8"" to 6'9""",218,77-85,86-93,88-93,48-64,45-70,75-83,75-80,51-95,70-72,53-80,50-78,58-75,85-89,75-90,49-75,34-61,59-76,77-86,75-82,75-82,75-85
2-Way Dunking Middy Maestro,Small Forward,"6'8"" to 6'10""",185-219,74-86,70-83,90-93,50-60,31-70,85-93,80-83,67-97,85-88,66-81,71-75,53-84,82-92,52-67,50-88,40-75,60-64,82-88,67-88,60-75,75-80
2-Way High Flyer,Small Forward,"6'10""",217,74,75,89,66,51,70,80,58,75,75,68,85,82,52,88,68,92,78,74,77,80
2-Way High-Flying Slasher,Small Forward,"6'6"" to 6'8""",185-227,68-75,71-80,87-93,48-72,47-70,60-74,62-83,58-81,56-75,81-86,75-80,60-92,85-94,70-91,50-78,39-79,60-72,80-88,79-86,71-82,70-82
2-Way High-Flying Wing Runner,Small Forward,"6'6"" to 6'10""",181-230,67-78,67-80,85-93,37-81,31-54,70-81,80-83,55-89,47-80,70-82,68-79,56-89,83-96,60-96,47-94,31-78,56-83,82-91,73-92,55-83,75-88
2-Way Inside-Out Bully Dimer,Small Forward,"6'8"" to 6'9""",209-225,70-76,70-76,87-93,48-78,50-53,80-83,90-91,69-81,85-89,61-73,63-70,65-85,57-92,60-85,47-84,37-62,60-81,76-87,61-85,85-88,75-80
2-Way Inside-Out Dime-Dropper,Small Forward,"6'8"" to 6'9""",185-215,74-83,72-80,87-91,49-56,49-57,75-81,85-91,63-73,85-87,80-81,75,60-81,85-90,60-73,55-84,37-79,60-80,80-86,76-85,60-75,75-80
2-Way Inside-Out Point Forward,Small Forward,"6'8""",192-221,69-74,71-80,89-92,50-60,51-65,80-82,88-92,67-76,85,85-86,76-80,60-72,85,58-67,74-76,50-70,55-60,80-88,75-80,67-73,75-80
2-Way Inside-Out Slasher,Small Forward,"6'8""",205-218,75-79,85-88,87-89,47-80,51-60,80-82,86-90,70-80,61-82,85-86,75-79,50-81,84-92,55-75,47-78,37-70,60-66,80-87,80-84,57-83,75-82
2-Way Iso Sniper,Small Forward,"6'6"" to 6'8""",193-218,73-84,70-81,65-84,33-72,44-51,84-96,85-93,70-82,60-75,84-86,75-80,35-85,85-93,60-74,46-84,25-72,45-80,76-88,76-83,57-82,60-80
2-Way Iso-Sniping Cleaner,Small Forward,"6'8""",218,71,80,75,72,51,85,86,80,70,86,78,60,85,70,76,78,85,86,83,70,75
2-Way Mid-Paint Bully,Small Forward,"6'7"" to 6'8""",215-224,74-77,69-75,88-91,48-58,50,89-92,79-83,69-81,60-70,71-81,68-75,60-74,85-92,55-85,74,37-55,60-80,80-85,76-80,85,78-82
2-Way Mid-Paint Bully Creator,Small Forward,"6'7"" to 6'8""",215-237,78-82,78-92,50-86,36-61,50-56,85-93,80,60-85,55-61,77-86,76-81,74,85-92,55-67,78-79,70-85,55-80,80-81,80,85-91,75
2-Way Mid-Paint Cleaner,Small Forward,"6'7"" to 6'9""",205-220,73-80,71-90,52-93,42-59,45-58,85-90,75-84,63-66,71-75,68-80,68-79,82-93,76-85,48-67,68-89,60-84,85,83-85,80-85,80-85,75-80
2-Way Mid-Paint Crasher,Small Forward,"6'9""",230,81,84,87,75,70,91,83,69,61,80,71,75,88,70,70,77,62,82,78,73,75
2-Way Mid-Paint Creator,Small Forward,"6'8""",185-247,71-79,70-83,87-96,47-72,50-75,84-93,70-83,60-90,61-76,85-86,75-80,48-80,85-94,55-83,40-80,30-81,55-80,79-89,76-89,51-80,75-85
2-Way Mid-Paint Point Forward,Small Forward,"6'6"" to 6'8""",185-219,74-78,71-88,35-93,35-52,42-52,85-93,77-83,64-79,85-94,85-86,75-80,55-67,85-92,55-79,68-78,26-84,45-92,76-85,75-85,52-75,60-80
2-Way Mid-Paint Scorer,Small Forward,"6'6"" to 6'9""",185-230,70-83,67-90,41-96,26-65,36-80,84-93,45-83,60-85,55-76,62-81,61-80,49-89,85-94,55-96,42-88,31-80,49-81,75-88,70-86,50-82,70-90
2-Way Mid-Post High Flyer,Small Forward,"6'9""",188,82,76,87,52,87,91,80,79,60,75,75,70,87,72,84,47,59,85,85,60,83
2-Way Mid-Range Bully,Small Forward,"6'7"" to 6'8""",214-222,70-75,49-80,62-80,43-80,50-52,85-90,71-83,65-87,40-80,58-82,63-78,64-88,90-95,67-91,70-85,36-80,55-80,80-90,83-86,84-85,60-84
2-Way Mid-Range High Flyer,Small Forward,"6'6""",192,80,71,80,39,41,93,83,79,70,86,86,50,85,85,68,34,53,86,80,56,75
2-Way Mid-Range Menace,Small Forward,"6'8""",215,73,78,84,44,50,85,83,80,71,85,75,60,92,79,74,57,70,84,80,75,72
2-Way Mid-Range Scorer,Small Forward,"6'6"" to 6'10""",183-233,70-84,49-80,34-80,25-81,31-77,83-93,70-83,60-85,39-75,59-81,64-80,57-88,73-97,60-94,47-88,29-82,54-93,73-90,70-92,64-90,64-83
2-Way Mid-Range Slasher,Small Forward,"6'7"" to 6'8""",185-242,72-80,70-90,87-91,48-52,47-60,85-93,78-83,64-86,61-75,81-86,75-80,58-85,85-92,55-85,40-84,28-81,53-80,80-88,76-85,52-83,75-85
2-Way Middy-Scoring Cleaner,Small Forward,"6'9""",212,75,77,73,55,50,85,83,80,75,60,63,82,89,73,74,65,85,83,80,85,80
2-Way Middy-Slashing Cleaner,Small Forward,"6'7"" to 6'8""",188-230,70-78,70-75,55-89,41-72,51-55,85-93,80-83,62-91,61-71,85-86,75-80,60-87,85-92,55-73,74-80,60-81,85-88,85-87,77-86,60-85,75-81
2-Way Off-Screen Shooter,Small Forward,"6'7"" to 6'9""",185-215,74-86,63-80,55-80,33-57,38-69,89-93,85-91,66-98,55-75,65-80,65-75,59-82,85-92,67-81,74-82,48-75,62-81,85-88,86-88,60-79,62-80
2-Way Point Forward Cleaner,Small Forward,"6'8""",205,78,75,64,56,71,82,83,82,85,85,68,82,85,67,63,80,87,80,75,75,83
2-Way Post Bully,Small Forward,"6'8""",232,85,70,73,81,82,80,76,55,66,63,68,82,90,85,74,46,70,81,81,91,65
2-Way Power Dunker,Small Forward,"6'6"" to 6'10""",245-250,75-76,72-75,84-92,81-90,77-81,72-81,75-80,57-66,53-82,78-81,66-75,82-84,70-91,42-61,78-86,70-80,78-80,75-80,69-80,87-91,74-75
2-Way Rim Wrecker,Small Forward,"6'10""",200,76,80,92,90,75,71,81,76,65,77,68,74,83,73,74,67,80,80,75,73,80
2-Way Sharpshooter,Small Forward,"6'7"" to 6'9""",185-223,71-85,70-84,69-82,30-81,45-66,86-95,84-91,68-86,55-83,75-80,72-75,50-85,88-92,73-85,47-74,27-76,52-72,82-86,71-83,57-80,55-75
2-Way Sharpshooting Cleaner,Small Forward,"6'6""",225,75,58,49,27,46,88,85,99,72,68,70,70,91,94,78,79,85,85,84,85,70
2-Way Sharpshooting Riser,Small Forward,"6'9"" to 6'10""",218-225,79-82,54-59,69-79,84-86,54-62,89-91,85-90,67-69,60-75,61-64,66-69,85-91,65-85,50-76,60-93,45-62,65-87,77-82,73-80,86,80
2-Way Shot-Erasing High Flyer,Small Forward,"6'10""",206,73,80,93,70,50,80,80,60,82,75,71,70,83,75,80,81,80,80,76,74,80
2-Way Slashing Cleaner,Small Forward,"6'8""",221,67,71,87,47,51,71,81,69,76,86,78,68,85,85,78,60,85,86,71,83,75
2-Way Slashing Point Forward,Small Forward,"6'8""",203-208,73,74,91,53,53,73,83,70,85,86,75,60,92,67,74,80,65,85,76,73,80
2-Way Slashing Putback Pro,Small Forward,"6'8""",237,74,80,94,59,51,74,83,58,75,86,75,80,85,70,50,85,70,85,77,66,85
2-Way Table Setter,Small Forward,"6'8""",233,72,69,79,65,56,80,80,68,85,78,77,80,92,92,78,70,62,78,76,70,59
2-Way Tempo Pusher,Small Forward,"6'6""",200-201,58-73,59-73,55-83,49-65,31-43,73,83,61-67,50-63,74-83,79,60-74,95-97,89-94,74-79,32-35,57-59,90-94,79-92,71-74,64-72
2-Way Versatile Paint Finisher,Small Forward,"6'7""",215,90,90,90,40,25,75,75,90,53,65,65,60,91,95,61,71,71,90,83,56,71
3 & D Dime Dropper,Small Forward,"6'9""",215,71,80,80,45,54,81,86,93,86,80,72,90,86,80,92,52,70,72,66,70,62
3 & D Wing,Small Forward,"6'8""",219,76,76,76,56,63,80,85,62,65,75,70,85,85,70,75,76,80,86,80,81,83
3-Level Scorer,Small Forward,"6'5"" to 6'10""",185-225,70-90,65-91,70-93,40-90,25-92,84-94,83-95,63-95,56-80,65-81,65-80,58-82,55-84,41-80,40-80,30-79,48-80,76-90,67-84,55-83,60-90
3-Level-Scoring Cleaner,Small Forward,"6'10""",214,80,71,90,65,62,85,84,69,76,76,70,76,82,79,75,80,85,80,75,74,78
3-Level-Scoring Crasher,Small Forward,"6'9"" to 6'10""",220-225,80-88,75-92,92-95,64-80,58-64,89-90,84-86,67-70,57-71,76-80,69-72,50-70,82,52-67,43-78,85-86,71-73,78-83,68-73,57-83,75-83
3PT Edge-Enforcing High Flyer,Small Forward,"6'9""",218,70,72,89,54,47,75,84,75,75,75,72,80,88,58,88,80,85,83,80,65,85
3PT Rim-Wrecking Ball Hawk,Small Forward,"6'7""",235,83,82,85,82,50,81,85,73,75,65,70,72,73,87,47,76,61,81,83,82,91
3PT Shot Hunter,Small Forward,"6'7"" to 6'8""",214-215,75-79,76-78,73-82,49-79,51-54,75-82,84-85,61-74,58-74,80-91,78-81,58-77,60-78,48-80,49-76,64-77,68-83,87-90,75-86,57-89,75-94
3PT-Sniping Bulldozer,Small Forward,"6'9"" to 6'10""",206-214,73-75,76-80,89-95,66-76,50-74,76-80,86-87,61-68,63-71,77-80,68-73,67-82,81-83,57-73,74-78,62-64,77-83,80-84,75-82,84,76-80
3PT-Sniping Posterizer,Small Forward,"6'7""",219,77,77,97,47,50,75,85,60,60,81,75,82,74,44,52,46,70,85,80,85,88
3PT-Sniping Rim Wrecker,Small Forward,"6'7"" to 6'10""",200-218,73-79,79-80,87-99,80-85,34-77,76-80,86-90,70-80,70-76,74-81,65-78,68-74,72-83,60-73,74-84,60-75,70-80,73-80,65-80,66-80,78-85
3PT-Snipping Rim Wrecker,Small Forward,"6'9""",218,81,80,93,94,57,80,81,72,79,77,72,75,81,54,78,68,80,78,63,71,73
Aerial Playmaker,Small Forward,"6'7""",216,71,79,91,41,51,75,80,70,86,91,81,50,79,54,63,53,50,85,76,70,85
Ankle Taker,Small Forward,"6'8""",220,79,85,84,45,65,92,87,92,71,86,77,57,73,79,68,53,48,84,73,77,80
Ankle-Breaking Bully,Small Forward,"6'7""",215,94,93,75,52,69,86,87,90,61,86,66,63,60,39,52,42,60,90,76,86,82
Ball-Hawking 3 & D Wing,Small Forward,"6'5"" to 6'7""",195-220,60-78,54-75,65-84,28-72,25-45,75-80,85-89,64-83,50-75,69-74,74-79,54-74,90-97,86-94,59-74,29-62,54-80,85-94,80-92,60-80,60-80
Ball-Hawking 3-Level Scorer,Small Forward,"6'5""",213,86,89,82,46,30,85,92,71,56,75,80,71,72,89,50,40,58,90,80,75,90
Ball-Hawking 3PT Slasher,Small Forward,"6'7"" to 6'8""",200-225,66-77,71-76,86-93,45-66,50-54,75-80,85-86,60-70,65-80,86-90,77-80,55-70,74-83,85-90,39-72,35-68,53-60,81-87,71-82,50-73,75-84
Ball-Hawking Lockdown,Small Forward,"6'7"" to 6'8""",218-242,58-67,55-70,73-77,42-43,44-55,70-78,80-82,55-57,60-70,65,69-70,71-80,92-93,90-96,78-80,45-48,70,86-87,80-83,74-83,77-83
Ball-Hawking Mid-Paint Scorer,Small Forward,"6'7""",215,76,82,85,64,51,90,70,71,66,76,73,57,83,90,70,56,70,90,81,82,67
Ball-Hawking Middy Slasher,Small Forward,"6'8""",230,77,87,93,53,51,89,75,69,61,86,75,63,65,88,80,50,72,86,71,54,80
Ball-Hawking PlayShot,Small Forward,"6'6""",225,78,70,80,40,39,80,89,64,85,84,80,70,80,87,40,27,50,93,78,65,75
Ball-Hawking Sharpshooter,Small Forward,"6'8""",218,80,82,75,35,43,94,84,80,74,76,78,70,80,84,70,75,70,86,76,76,70
Ball-Snatching Dual Finisher,Small Forward,"6'9""",218,80,90,88,53,50,73,83,81,71,75,70,70,83,85,79,85,70,80,75,75,80
Blow-By High Flyer,Small Forward,"6'6"" to 6'8""",195-215,69-76,73-80,86-96,46-72,48-70,71-80,80-83,69-75,70-71,81-88,79-86,60-80,80-83,73-80,75-78,56-81,55-80,80-86,71-80,60-82,80-82
Board-Hunting 3-Level Bully,Small Forward,"6'9""",237,79,85,80,50,56,89,86,67,82,79,68,71,81,51,71,81,85,80,77,91,70
Board-Hunting 3PT High Flyer,Small Forward,"6'10""",230,70,70,90,80,75,75,85,75,80,75,68,70,77,47,53,85,85,75,72,90,85
Board-Hunting 3PT Lob Threat,Small Forward,"6'10""",214,73,63,77,87,53,83,86,61,83,78,70,75,72,53,58,85,86,80,75,83,92
Board-Hunting High Flyer,Small Forward,"6'9""",228,75,70,87,53,48,83,80,58,71,76,69,74,53,73,74,89,92,80,79,83,88
Board-Hunting Lob Threat Bully,Small Forward,"6'10""",225,76,65,76,91,68,70,79,64,66,78,69,69,82,67,67,85,89,78,73,89,85
Bulldozer,Small Forward,"6'7""",242,68,70,88,72,58,82,78,57,74,80,80,74,73,74,78,33,55,89,81,93,80
Clamp Thief,Small Forward,"6'5"" to 6'7""",183-223,58-71,45-70,34-83,25-81,26-47,70-81,70-83,56-93,35-80,55-81,60-80,57-74,94-98,91-96,53-81,30-75,54-80,85-95,85-93,62-83,60-83
Crafty 3-Level Dime-Dropper,Small Forward,"6'9""",245,86,91,91,56,56,94,91,95,85,80,70,70,80,74,45,65,50,73,70,70,71
Crafty 3-Level Scorer,Small Forward,"6'6"" to 6'10""",188-220,81-92,85-99,73-98,48-85,42-91,87-95,84-93,66-99,50-82,73-81,61-80,39-80,50-83,32-76,31-79,33-75,41-80,65-81,50-75,64-83,65-80
Crafty 3PT Sniper,Small Forward,"6'7""",215,98,83,80,72,70,80,87,68,80,75,75,70,70,67,68,67,65,75,78,76,72
Crafty 3PT-Sniping Creator,Small Forward,"6'7""",215,80,90,80,36,50,80,87,70,80,84,81,80,70,70,70,36,60,81,80,80,80
Crafty Inside-Out Scorer,Small Forward,"6'7"" to 6'10""",214-229,77-83,85-93,93-95,60-90,52-56,76-79,85-86,70-90,77-80,70-78,65-69,67-70,72-82,59-72,70-78,60-63,63-66,75-80,70-74,75-80,80
Crafty Inside-Out Shot Eraser,Small Forward,"6'10""",216,75,85,89,60,54,80,90,69,72,75,70,70,83,60,88,75,80,79,75,83,79
Crafty Mid-Paint Scorer,Small Forward,"6'10""",214,80,85,89,60,58,89,83,70,71,75,68,74,83,73,78,80,75,80,75,82,77
Crafty Mid-Paint Shot Eraser,Small Forward,"6'10""",200,80,90,89,81,79,87,76,66,65,73,68,70,83,73,84,71,80,75,73,73,78
Crafty Mid-Post Scorer,Small Forward,"6'8""",240,86,85,75,40,90,94,83,77,65,80,75,70,74,60,41,60,80,80,75,82,65
Crafty Walking Bucket,Small Forward,"6'6"" to 6'8""",185-225,87-94,85-94,75-91,40-83,38-90,86-94,88-90,71-98,63-79,83-86,77-84,38-70,51-74,25-60,25-50,33-60,35-80,80-84,66-75,63-82,65-76
Crashing Mid-Paint Eraser,Small Forward,"6'10""",200,75,72,92,63,53,85,80,67,71,78,72,76,82,73,84,85,83,82,78,65,83
Crashing Mid-Paint Scorer,Small Forward,"6'9"" to 6'10""",210-218,75-77,75-83,89-95,62-65,52-54,83-85,80,58-81,55-73,78-80,71-72,74-76,82-83,73-80,78-79,85-89,70-81,80-82,73-75,73,75-82
Dime-Dropping 3PT Gunner,Small Forward,"6'8""",218,92,67,81,75,40,80,89,80,92,75,70,59,81,80,42,72,78,86,78,75,86
Dime-Dropping Dual Finisher,Small Forward,"6'8""",185,75,85,87,52,54,80,83,58,87,81,75,80,80,73,74,50,72,80,75,74,80
Diming 3-Level Scorer,Small Forward,"6'8"" to 6'10""",185-226,78-89,75-90,75-93,53-73,51-80,85-95,86-91,65-87,85-92,75-80,68-75,50-70,76-83,50-79,50-80,35-79,55-80,77-85,72-80,56-82,75-84
Diming Inside-Out Scorer,Small Forward,"6'9""",215,73,83,88,55,52,78,88,78,85,80,72,70,80,81,70,61,60,83,81,76,76
Disruptive Lockdown,Small Forward,"6'7""",180-220,55-72,46-82,40-50,39-40,27-47,70-76,80-81,55-79,65-70,60-63,65-66,70-78,96-97,91-96,84-87,37-50,62-70,90,85-90,62-82,60-70
Drive & Rise,Small Forward,"6'8""",232,70,71,74,84,68,55,62,38,61,86,75,74,90,73,88,70,85,85,80,91,80
Drive & Rise Wing,Small Forward,"6'9""",218,81,81,81,81,80,77,73,67,81,80,72,77,77,78,77,72,72,83,80,80,80
