Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
Edge Enforcer,Small Forward,"6'7"" to 6'9""",186-230,62-76,46-80,60-80,45-72,26-79,70-83,80-83,55-92,45-80,51-80,56-75,70-80,87-94,62-94,80-88,60-70,85-89,75-91,80-90,60-75,75-85
Edge-Enforcing 3PT Slasher,Small Forward,"6'8""",221,70,71,83,45,52,74,81,59,71,86,75,70,92,62,84,60,85,85,80,85,80
Edge-Enforcing 3PT Sniper,Small Forward,"6'8""",212,65,70,55,45,50,80,85,77,65,73,75,70,92,90,84,75,85,82,80,75,74
Edge-Enforcing High Flyer,Small Forward,"6'8"" to 6'9""",185,69,69-70,89,49-54,35-40,70-75,80,60-76,65-75,56,56-59,73-80,92,62-87,85-88,60-70,85,86-89,85-86,68-70,75-79
Edge-Enforcing Middy Scorer,Small Forward,"6'7"" to 6'8""",192-218,60-74,48-53,47-73,32-48,50-51,75-89,80,64-86,27-71,51-60,56-65,70-82,91-97,85-86,84-93,60-75,85,86-90,83-86,72-85,75-83
Edge-Enforcing Slasher,Small Forward,"6'8""",208-233,60-67,70,75-87,47-72,49-50,73-75,83,58-82,59-60,84-85,75,74-82,85,60-85,84,70-75,85-92,83-85,76-80,82,77-80
Eliminator,Small Forward,"6'8""",239,65,65,80,72,56,68,78,66,65,77,68,71,92,92,84,60,62,80,80,91,65
Glass Guardian Lob Threat,Small Forward,"6'9""",247,78,55,75,90,67,38,25,38,84,54,50,77,85,85,88,93,89,80,76,90,88
Gritty 3-Level Scorer,Small Forward,"6'8"" to 6'10""",190-218,77-84,70-85,89-93,54-62,45-80,87-92,85-90,70-80,55-82,77-80,63-70,75-88,71-83,53-70,56-80,47-80,65-76,74-85,75-82,71-82,77-82
Gritty 3-Level Scoring Bully,Small Forward,"6'9"" to 6'10""",210-218,83-92,74-90,63-89,56-58,62-71,88-94,84-91,64-70,53-70,78-80,71-72,88,80-82,50-52,76-80,53-56,68-70,80-83,76-80,84-85,78-80
Gritty 3PT Slasher,Small Forward,"6'8""",200-219,69-76,69-80,87-90,48-65,49-51,80-83,86-92,66-75,61-76,84-86,75-79,86-88,56-74,60-80,59-74,55-74,75-80,85-86,78-86,73-84,75-83
Gritty Bulldozer,Small Forward,"6'7""",215,79,79,93,60,51,71,80,58,71,80,70,86,73,66,71,62,83,87,75,86,88
Gritty High-Flying 3PT Sniper,Small Forward,"6'9"" to 6'10""",211-227,75-80,70-84,85-93,58-81,50-81,80-81,84-90,59-87,70-82,75-79,68-72,83-91,72-83,50-70,64-78,47-78,65-84,72-80,72-75,71-90,78-85
Gritty Inside-Out Slasher,Small Forward,"6'8""",190,75,85,93,53,51,81,91,81,80,85,80,85,60,40,79,47,65,83,80,65,80
Gritty Iso Savant,Small Forward,"6'8""",210,73,80,88,48,51,88,85,65,71,86,75,85,84,55,80,42,65,85,77,73,80
Gritty Mid-Paint Scorer,Small Forward,"6'10""",200,78,80,93,63,53,87,81,67,60,78,72,88,84,54,81,70,80,82,78,74,80
Gritty Sharpshooter,Small Forward,"6'10""",215,80,80,77,58,55,90,90,69,80,75,70,90,82,73,78,67,75,79,71,73,75
High-Flying 3PT Sniper,Small Forward,"6'8"" to 6'10""",188-220,70-76,70-80,85-93,55-70,50-80,74-82,83-90,63-93,65-84,78-80,60-78,63-80,74-84,70-79,74-80,51-84,60-80,80-85,70-80,70-83,70-85
High-Flying Glass Guardian,Small Forward,"6'10""",216,85,78,91,65,60,79,79,78,70,51,49,82,83,80,84,85,87,79,75,67,83
High-Flying Mid-Post Eraser,Small Forward,"6'10""",211,81,70,89,61,86,89,80,64,71,78,70,80,83,73,86,47,63,80,76,83,80
High-Flying Mid-Range Slasher,Small Forward,"6'8""",185-232,71-84,70-80,87-93,49-81,50-52,85-93,80-83,60-88,61-84,83-86,75-80,55-77,72-84,55-79,47-80,39-82,57-84,83-89,72-85,65-80,75-90
High-Flying Middy Maestro,Small Forward,"6'8""",250,84,80,90,54,67,80,77,70,85,80,75,74,82,53,78,49,70,80,78,82,80
High-Flying Slasher,Small Forward,"6'7"" to 6'8""",193-224,73,75-80,93,43-70,46-51,78-80,80-83,58-59,70-82,85-86,78-80,64-70,70-80,80,77-79,34-70,59-65,83-88,72-73,57-70,75-81
High-Flying Wing Runner,Small Forward,"6'8"" to 6'9""",207-220,76-88,79-80,96-99,56-70,55-58,70-80,80,57-60,55-76,80,73-78,61-80,70-73,65-70,50-70,39-80,57-80,84-85,73-82,60-80,85-94
Inside-Out Break Starter,Small Forward,"6'8""",244,70,80,89,49,70,74,84,85,85,80,75,74,82,67,78,75,92,80,75,72,78
Inside-Out Bully,Small Forward,"6'8"" to 6'10""",215-233,80-85,85-91,87-96,56-80,49-86,80-83,86-90,61-86,53-80,77-78,68-75,65-75,70-83,45-73,49-80,50-70,55-72,77-85,71-77,84-85,75-85
Inside-Out High-Flying Slasher,Small Forward,"6'6"" to 6'8""",184-227,70-84,72-80,87-99,40-72,40-61,75-83,83-93,60-94,61-82,81-93,66-86,50-82,56-84,38-81,38-80,29-78,47-83,80-91,71-88,55-83,75-90
Inside-Out Scorer,Small Forward,"6'8"" to 6'10""",218-225,80-83,85,85-93,53-71,52-61,80-83,84-88,64-80,65-70,75-82,69-78,62-80,79-80,50-73,80,56-80,80-81,78-86,71-83,66-75,83-85
Inside-Out Shot Eraser,Small Forward,"6'8""",192,76,85,89,52,47,76,86,80,78,81,77,61,84,54,78,71,80,85,74,77,87
Inside-Out Slasher,Small Forward,"6'5"" to 6'7""",192-215,73-83,85-90,89-97,39-72,34-51,80-83,89-92,66-86,64-76,80-91,72-85,37-60,56-84,44-75,34-74,25-70,42-59,85-88,75-93,55-67,69-88
Inside-Out-Diming Eraser,Small Forward,"6'9"" to 6'10""",215-225,71-84,77-85,86-87,57-63,59-67,75-81,85-86,88-92,85,78-80,68-72,69-73,71-82,78-84,84-86,72-79,77-80,78-83,67-81,65-83,66-75
Iso Savant,Small Forward,"6'5"" to 6'8""",180-220,69-89,70-90,85-96,39-72,35-80,84-93,84-93,62-99,60-84,85-91,70-86,41-80,55-84,42-84,35-78,25-77,43-80,75-90,70-87,51-84,74-96
Iso Sniper,Small Forward,"6'5"" to 6'7""",213-215,74-85,73-76,45-80,25-78,45-78,89-90,87-99,74-99,65-82,85-90,74-85,59-70,58-68,28-60,51-65,25-76,47-77,74-87,72-75,49-77,57-76
Laser Beam,Small Forward,"6'10""",200,84,85,87,72,79,93,89,76,76,77,70,65,71,67,78,60,70,78,75,73,75
Lockdown Defender,Small Forward,"6'6"" to 6'9""",186-223,55-75,55-79,65-80,29-52,37-51,68-80,75-83,55-85,28-65,53-80,58-80,83-90,90-95,85-94,78-94,45-60,66-80,80-88,82-88,65-82,74-87
Mid-Paint Board Enforcer,Small Forward,"6'9""",235,77,67,87,52,60,87,80,66,39,47,51,88,85,58,84,91,90,81,78,85,75
Mid-Paint Bully,Small Forward,"6'7"" to 6'10""",233-241,78-94,85-88,78-88,72-87,82-92,85-87,76-80,72-75,78-80,77-78,68,70-72,58-72,60-76,47-74,65-80,75-80,75-77,71-73,86-92,70-80
Mid-Paint Playmaking Cleaner,Small Forward,"6'7""",202,69,78,87,38,45,84,74,75,87,85,79,70,80,70,45,67,85,85,83,75,80
Mid-Paint Point Forward,Small Forward,"6'8""",191,76,76,96,56,51,85,81,68,84,86,80,42,70,60,40,80,65,88,88,56,85
Mid-Paint Scorer,Small Forward,"6'9""",185,76,86,87,66,50,85,80,73,70,80,75,70,80,70,77,35,57,86,80,75,87
Mid-Paint-Diming Putback Pro,Small Forward,"6'9""",250,82,77,88,53,52,92,83,67,87,80,69,75,83,79,45,85,79,80,75,78,77
Mid-Paint-Scoring Cleaner,Small Forward,"6'8"" to 6'10""",200-250,74-75,67-75,87,50-81,50,85-89,82-83,63-67,75-76,73-81,70-75,70-77,82-84,60-82,78-80,62-67,87-92,81-82,77-78,73-79,75-80
Mid-Post Bucket Getter,Small Forward,"6'6""",215,84,90,87,60,87,93,78,84,71,81,80,60,74,67,31,47,60,82,80,75,75
Mid-Range High Flyer,Small Forward,"6'8""",193-230,76-80,75-80,89-94,52-72,46-60,84-91,75-83,71-80,65-84,80-82,75-80,60-70,80-84,54-81,63-74,46-77,60-69,82-86,71-80,73-79,77-83
Mid-Range Menace,Small Forward,"6'8""",225,82,71,84,50,65,96,83,72,71,86,77,53,83,53,73,37,61,86,77,62,85
Mid-Range Slasher,Small Forward,"6'7"" to 6'8""",210-219,77-83,87-93,92-93,53-65,50-51,85-89,80,68-76,71-80,86-88,77,60,53-81,51-67,40-69,28-31,45-51,82-83,77-81,67-82,82-85
Offensive Engine,Small Forward,"6'8""",185,80,80,91,61,55,85,90,83,93,85,80,50,80,55,40,50,75,80,73,61,75
Paint-Finishing Putback Pro,Small Forward,"6'10""",225,80,90,92,89,64,41,51,61,76,75,69,63,82,61,74,90,80,78,73,83,85
Physical 2-Way 3-Level Cleaner,Small Forward,"6'10""",230,78,70,89,59,55,87,85,70,70,75,68,85,74,60,85,72,88,75,70,85,79
Physical 2-Way 3PT Slasher,Small Forward,"6'7"" to 6'8""",205-218,67-69,71,87-89,37-81,50-51,77-79,87-89,70-80,70-76,86,75-80,65-90,85-87,55-79,69-80,37-75,55-82,80-85,80-85,85,80
Physical 2-Way Sharpshooter,Small Forward,"6'6"" to 6'9""",206-221,75-83,52-80,46-82,36-46,45-64,85-96,88-93,64-99,44-82,67-75,55-75,60-85,85-98,60-91,48-78,38-74,63-80,82-87,77-82,84-85,66-80
Physical 2-Way Tempo Pusher,Small Forward,"6'8""",218,61,71,55,45,51,65,75,57,75,86,75,82,94,91,84,40,65,86,83,85,77
Physical 3 & D Cleaner,Small Forward,"6'7""",250,71,54,74,51,60,77,87,66,35,59,64,82,89,79,74,66,87,89,80,95,88
Physical 3 & D Sniper,Small Forward,"6'5"" to 6'8""",218-231,60-68,55-70,50-82,32-65,43-58,73-80,83-90,61-92,35-70,60-81,65-76,67-93,85-97,55-94,68-84,32-60,56-80,85-90,80-88,88-92,60-85
Physical 3-Level Scorer,Small Forward,"6'7"" to 6'10""",206-235,75-92,67-96,80-93,30-72,50-87,85-95,84-91,62-92,52-83,73-80,68-75,62-82,55-82,25-78,40-74,26-80,50-80,73-83,65-81,84-92,68-85
Physical Ball-Hawking Lockdown,Small Forward,"6'8""",218,72,75,81,45,49,76,83,74,64,70,70,70,91,88,78,41,65,86,83,84,78
Physical Board Hunter,Small Forward,"6'10""",244,75,80,80,75,65,80,75,72,80,78,66,80,80,50,70,90,90,75,69,85,77
Physical Clamp Thief,Small Forward,"6'6"" to 6'7""",222-238,58-73,45-70,57-80,35-81,45-53,70-80,80-83,58-76,46-71,60-75,65-80,60-82,94-95,85-94,68-80,35-80,60-82,90-93,85-88,85-92,63-80
Physical Disruptive Lockdown,Small Forward,"6'7"" to 6'8""",216-250,55-60,44-65,50-77,29-60,51-58,70-73,80-83,61-98,35-68,58-75,63-71,78-82,93-97,85-96,84-88,35-62,60-80,85-89,79-86,86-92,70-80
Physical Edge Enforcer,Small Forward,"6'7"" to 6'8""",232-250,63-67,40-50,60-70,45-72,50-59,71-82,80-83,57-60,32-55,51-59,56-64,67-80,92-95,85-91,82-85,65-71,90-92,86-89,79-82,85-91,84-88
Physical Glass Guardian,Small Forward,"6'9""",250,79,54,73,53,56,70,80,57,25,45,50,82,83,60,93,94,90,80,75,91,88
Physical Inside-Out Crasher,Small Forward,"6'9""",234,80,90,82,72,60,80,90,65,65,80,68,74,74,73,75,85,75,80,76,84,75
Physical Inside-Out Dimer,Small Forward,"6'9"" to 6'10""",214-218,73-84,77-80,85-93,62-69,49-70,77-80,87-90,67-77,85,74-78,70,70-82,70-80,62-70,70-75,60-81,83-84,75-80,75,84,75-80
Physical Mid-Paint Cleaner,Small Forward,"6'8""",250,73,78,93,53,49,87,75,62,80,80,75,82,75,45,80,63,85,80,78,84,80
Physical Mid-Paint Shot Eraser,Small Forward,"6'8"" to 6'10""",216-237,78-84,73-90,87-93,53-80,60-78,93-94,69-80,68-78,55-75,50-73,48-76,74-77,82-84,58-73,84,62-66,65-80,70-81,71-78,84-85,75-80
Physical Mid-Range High Flyer,Small Forward,"6'9""",218,79,75,94,59,49,89,80,73,71,79,70,74,82,73,52,75,75,80,80,84,82
Physical Mid-Range Menace,Small Forward,"6'7""",215,89,90,80,30,50,89,83,64,82,86,81,74,82,53,74,37,62,81,75,85,64
Physical Perimeter Lock,Small Forward,"6'7""",216,72,78,73,81,77,73,83,95,75,65,62,69,95,79,78,38,55,86,86,85,75
Physical Shot-Erasing Lockdown,Small Forward,"6'7""",216,70,70,73,73,48,80,83,66,71,81,75,74,85,79,82,61,80,87,84,82,80
Playmaking 3PT Slasher,Small Forward,"6'8""",227,73,73,93,53,50,75,85,60,85,85,73,64,84,79,74,52,56,82,78,73,80
Putback High-Flying Eraser,Small Forward,"6'9""",218,77,70,88,53,48,83,79,95,60,75,68,82,80,50,88,92,77,80,77,81,85
Putback Rim-Wrecking Eraser,Small Forward,"6'10""",225,77,80,92,90,52,37,25,52,76,75,65,82,82,52,90,92,80,68,66,83,83
Rim-Reaping 3-Level Scorer,Small Forward,"6'8"" to 6'10""",215-223,81-84,80-90,70-89,50-61,50-64,89-91,84-89,76-81,55-68,73-75,68-75,74-76,74-82,53-60,84-88,74-80,85,78-86,73-84,73-83,78-80
Rim-Reaping 3PT High Flyer,Small Forward,"6'9"" to 6'10""",200-223,70-80,70-80,85-90,50-81,47-53,78-80,84-88,70-75,71-75,50-80,50-74,75-82,76,50-68,84-91,75-80,85,78-82,73-83,75-82,80-85
Rim-Reaping Diming High Flyer,Small Forward,"6'8""",185,76,76,93,56,45,55,45,80,91,80,75,81,79,49,94,61,85,89,80,70,80
Rim-Reaping Dual Finisher,Small Forward,"6'10""",225,75,85,92,81,50,71,36,49,70,73,68,82,82,60,86,70,90,71,71,83,85
Rim-Reaping Finisher,Small Forward,"6'10""",200,84,85,80,81,84,73,83,94,80,72,61,74,74,60,84,70,85,82,78,73,80
Rim-Reaping High Flyer,Small Forward,"6'7"" to 6'10""",185-215,72-84,65-80,85-93,40-81,48-79,69-83,48-83,56-80,50-76,75-81,69-75,70-82,74-83,60-80,83-90,64-84,85-92,76-85,71-85,62-83,80-88
Rim-Reaping Inside-Out Scorer,Small Forward,"6'9""",230,80,85,90,60,61,82,84,61,55,80,71,80,70,45,83,65,90,82,78,80,87
Rim-Reaping Mid-Paint Scorer,Small Forward,"6'8"" to 6'10""",207-245,72-80,73-80,86-94,51-81,40-70,84-90,70-83,62-90,65-76,71-80,65-75,70-80,71-83,44-73,84-93,60-77,85-92,75-84,70-75,72-83,75-90
Rim-Reaping Mid-Range Bully,Small Forward,"6'9""",210,79,56,75,48,51,89,83,65,76,68,73,77,82,79,92,60,85,73,71,85,83
Rim-Reaping Rim Wrecker,Small Forward,"6'10""",225,75,80,89,90,50,83,80,85,71,67,68,74,72,42,84,60,85,78,73,83,80
Rim-Reaping Slasher,Small Forward,"6'8""",218,82,92,95,55,51,74,81,61,61,86,76,71,56,46,91,66,91,86,83,57,75
Rim-Wrecking Distributor,Small Forward,"6'9""",197,75,75,95,87,50,70,80,55,94,75,74,60,68,65,80,70,58,85,79,73,85
Shot-Erasing 3 & D Wing,Small Forward,"6'9""",185-218,75-82,65-75,73,50-72,52-80,80-82,86-90,75-77,71,53-75,56-70,74-82,87-92,80-81,84-87,43-63,68-70,82-86,80-86,78-83,74-82
Shot-Erasing 3-Level Bully,Small Forward,"6'10""",211-225,79-84,69-80,89-90,60,54-79,89-93,85-90,73-77,65-70,75-77,68-70,74-80,73-74,52-60,83-93,60-70,59-84,75-80,70-71,84-85,78
Shot-Erasing 3-Level Crasher,Small Forward,"6'9""",220,88,72,90,60,75,86,86,67,67,80,72,80,50,40,85,85,70,80,80,85,85
Shot-Erasing 3-Level Creator,Small Forward,"6'8""",210-245,75-77,74-77,89-96,49-56,51,85-89,85-88,69-98,66-75,83-85,75-78,65-74,74-80,44-50,84-86,34-71,59-67,80-85,77-79,72-84,80-85
Shot-Erasing 3-Level Scorer,Small Forward,"6'9"" to 6'10""",186-225,75-91,69-91,87-93,54-86,51-88,82-94,85-91,62-95,40-76,65-80,62-75,70-82,53-83,37-79,80-89,41-84,59-82,76-86,65-78,60-83,74-91
Shot-Erasing 3PT High Flyer,Small Forward,"6'8"" to 6'10""",200-220,70-77,75-84,88-94,54-81,49-74,78-81,86-91,65-72,60-84,74-80,68-75,70-78,71-84,61-73,84-86,39-78,62-80,78-86,73-83,73-82,74-85
Shot-Erasing 3PT Slasher,Small Forward,"6'7"" to 6'8""",185-202,74-84,75-80,87-96,46-61,51-70,75-80,85-90,60-72,70-81,86-90,76-80,65-75,60-82,48-54,82-85,40-71,65-70,80-90,71-80,54-72,76-86
Shot-Erasing Board Enforcer,Small Forward,"6'9""",220,75,60,65,50,55,70,76,70,70,48,53,88,80,70,90,85,90,83,80,85,85
Shot-Erasing Bulldozer,Small Forward,"6'9""",222,75,74,88,72,74,75,83,60,76,66,70,80,84,60,88,58,80,80,80,85,83
Shot-Erasing Diming Dunker,Small Forward,"6'8""",220,84,67,87,95,85,44,25,46,87,80,60,79,68,45,88,70,85,85,70,88,95
Shot-Erasing Dual Finisher,Small Forward,"6'10""",225,84,90,94,71,60,80,80,77,56,78,69,66,82,53,86,61,83,78,73,69,90
Shot-Erasing High Flyer,Small Forward,"6'9""",221,79,80,96,72,50,82,80,80,80,80,72,66,50,70,80,57,78,80,80,60,90
Shot-Erasing Inside-Out Bully,Small Forward,"6'9""",234,84,85,88,72,55,79,85,65,71,80,70,82,74,60,84,80,65,80,71,84,83
Shot-Erasing Iso Sniper,Small Forward,"6'8""",193,86,75,75,41,67,91,86,80,71,86,80,70,83,60,84,57,80,80,79,73,74
Shot-Erasing Lockdown,Small Forward,"6'9""",200,70,70,75,49,47,80,83,66,67,73,74,81,88,79,87,61,80,84,80,82,83
Shot-Erasing Mid-Paint Maestro,Small Forward,"6'8""",250,81,87,91,51,65,86,81,78,85,75,75,77,79,50,93,50,68,80,71,63,80
Shot-Erasing Mid-Paint Scorer,Small Forward,"6'8"" to 6'10""",201-222,73-80,74-84,81-94,50-85,46-74,85-89,78-83,63-82,56-82,68-81,70-79,64-80,70-84,52-73,72-90,45-80,63-83,79-87,69-82,65-81,78-85
Shot-Erasing Mid-Range Slasher,Small Forward,"6'8""",200-218,71-76,71-80,87-89,49-51,51,85-91,81-83,61-76,61-76,86,75-79,70-79,76-83,49-53,84-93,57-75,80,80-85,80-86,73-77,75-80
Shot-Erasing PlaySlash Crasher,Small Forward,"6'8""",237,74,80,94,54,51,73,83,77,85,86,75,60,74,60,78,85,70,85,77,73,85
Shot-Erasing Putback Dimer,Small Forward,"6'10""",229,86,96,57,72,70,75,83,72,87,75,68,82,73,43,84,92,77,70,71,83,65
Shot-Erasing Sharp Riser,Small Forward,"6'10""",210-211,78-84,60-80,80,80-90,63-70,88-93,89-90,64-71,70-75,73-78,68-71,74-80,80-83,53-65,80-84,55-60,80-81,75-80,75-76,73-75,75-77
Shot-Erasing Sharpshooter,Small Forward,"6'9"" to 6'10""",213-223,80-84,70-80,73-80,50-80,51-81,90-93,85-90,65-75,66-80,65-77,69-70,70-80,71-83,70-75,78-84,70-84,70-80,75-80,73-80,75-84,68-80
Shot-Erasing Slasher,Small Forward,"6'8""",185,75,75,87,72,51,73,83,70,65,86,80,75,76,79,88,51,65,85,75,70,80
Shot-Erasing Wing Runner,Small Forward,"6'9""",195,75,78,89,71,80,74,83,59,75,80,74,80,80,65,85,72,80,82,84,65,80
Shot-Obliterating Lock,Small Forward,"6'9""",198,70,60,75,50,40,80,76,89,55,70,69,88,85,79,94,70,80,82,84,72,85
Shot-Obliterating Rim Wrecker,Small Forward,"6'10""",213,87,68,88,90,62,83,80,90,75,78,70,70,75,46,84,80,80,80,75,58,85
Slashing Dual Finisher,Small Forward,"6'8""",193-218,79-80,85-90,96-99,56-61,50-51,71-74,81-82,57,58-61,83-86,78-80,55-64,77-80,49-80,40-73,54-70,71-73,82-86,71-75,59-74,85-90
Slashing Point Forward,Small Forward,"6'8""",193,71,75,91,70,61,73,83,62,85,86,80,67,75,67,79,55,80,80,80,75,80
Speedy Offensive Engine,Small Forward,"6'8""",200,83,88,90,55,60,90,90,66,89,86,79,46,72,47,33,30,42,86,71,66,77
Switch-Defending Cleaner,Small Forward,"6'7"" to 6'9""",186-242,60-73,48-60,53-71,37-50,37-55,68-71,78-81,56-79,39-76,57-66,62-69,85-89,92,85,84-94,60-83,85-92,86-89,82-85,72-90,80-85
Table-Setting Glass Guardian,Small Forward,"6'10""",204,76,80,80,60,53,83,80,84,85,70,68,69,82,67,88,85,90,80,75,73,80
Versatile Defender,Small Forward,"6'7""",200,71,71,30,25,44,73,83,62,71,61,65,90,94,94,74,62,85,90,88,79,60
Versatile Paint Bully,Small Forward,"6'6"" to 6'8""",210-215,75-81,76-93,87-93,37-53,44-51,85-93,84-94,68-71,60-71,82-86,75-82,59-65,70-74,40-44,31-78,28-44,39-65,84-85,69-79,84,75-83
Versatile Paint Finisher,Small Forward,"6'9""",188,78,88,89,90,70,83,53,87,71,80,75,60,82,60,74,84,80,85,80,67,78
Versatile Post Scorer,Small Forward,"6'7""",220,80,87,98,49,85,44,48,68,77,77,77,72,82,80,80,71,80,80,70,80,85
Versatile Power Finisher,Small Forward,"6'10""",244,76,85,96,90,52,68,78,73,76,77,65,68,72,73,74,60,70,73,65,84,85
Versatile Scorer,Small Forward,"6'7""",215,85,80,80,30,90,94,88,85,77,87,81,54,75,70,50,53,50,84,80,60,64
Wing-Running Dynamic Finisher,Small Forward,"6'10""",200,91,91,96,73,74,80,80,94,55,78,72,52,52,33,48,65,63,82,78,72,93
Wing-Running Finisher,Small Forward,"6'7""",227-230,78-80,88-90,93,72,42-79,73-76,70-83,73-90,65-71,75,68-80,60-73,73-74,67-79,74-78,38-71,60-70,84-85,76-77,70-80,80-88
Wing-Running Sharpshooter,Small Forward,"6'8""",240,76,70,76,61,70,85,88,84,78,75,70,76,80,80,74,52,60,83,79,80,90
Yamming Force of Nature,Small Forward,"6'9"" to 6'10""",218-225,75-86,80-83,93,90,50-56,35-70,25-78,52-75,71-76,75,68-72,69-74,72-82,60-73,74-78,60-92,70-92,78,65-71,83-85,85
